# Pin Out For CertusPro-NX 100K,,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,,
"# Revised Mar, 8, 2021",,,,,,,,,,,,,
# Revision 0.91,,,,,,,,,,,,,
"# Revised Apr, 8, 2021",,,,,,,,,,,,,
# Add ASG256 Package,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,
"# Revised Aug, 11, 2021",,,,,,,,,,,,,
# Add CBG256 and BFG484 Package,,,,,,,,,,,,,
,,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK, Dual Function,LVDS,HIGHSPEED,DQS,BBG484,LFG672,ASG256,CBG256,BFG484,
570,PB156B,-,3,LRC_GPLL0C_IN/VREF3_2/ATB_SENSE,Comp_OF_PB156A,TRUE,BDQ150,U21,AE3,K3,M1,U21,
579,ADC_REFP0,-,70,-,-,-,-,R19,AC1,L2,L5,R19,
580,ADC_REFP1,-,70,-,-,-,-,R18,AC2,M2,K5,R18,
584,ADC_DP0,-,70,-,True_OF_ADC_DN0,-,-,R14,AF2,L1,K7,R14,
585,ADC_DP1,-,70,-,True_OF_ADC_DN1,-,-,R16,AE1,N2,K6,R16,
588,ADC_DN0,-,70,-,Comp_OF_ADC_DP0,-,-,R15,AE2,M1,K8,R15,
589,ADC_DN1,-,70,-,Comp_OF_ADC_DP1,-,-,R17,AD1,P2,L6,R17,
617,PR67A,-,2,EIO,True_OF_PR67B,-,-,R22,AB3,-,-,R22,
618,PR67B,-,2,EIO,Comp_OF_PR67A,-,-,R21,AB2,-,-,R21,
620,PR65A,-,2,EIO,True_OF_PR65B,-,-,P13,AA1,-,-,P13,
621,PR65B,-,2,EIO,Comp_OF_PR65A,-,-,P14,AB1,-,-,P14,
624,PR64A,-,2,EIO,True_OF_PR64B,-,-,P19,AA2,-,-,P19,
625,PR64B,-,2,EIO,Comp_OF_PR64A,-,-,P18,Y2,-,-,P18,
629,PR62A,-,2,EIO,True_OF_PR62B,-,-,P20,Y4,-,-,P20,
630,PR62B,-,2,EIO,Comp_OF_PR62A,-,-,R20,AA4,-,-,R20,
633,PR60A,-,2,EIO,True_OF_PR60B,-,-,P22,W1,-,-,P22,
634,PR60B,-,2,EIO,Comp_OF_PR60A,-,-,P21,Y1,-,-,P21,
638,PR58A,-,2,EIO,True_OF_PR58B,-,-,N22,W3,-,-,N22,
639,PR58B,-,2,EIO,Comp_OF_PR58A,-,-,N21,W2,-,-,N21,
642,PR56A,-,2,EIO,True_OF_PR56B,-,-,M16,W5,-,-,M16,
643,PR56B,-,2,EIO,Comp_OF_PR56A,-,-,M15,W4,-,-,M15,
645,PR55A,-,2,EIO,True_OF_PR55B,-,-,N17,W7,-,-,N17,
646,PR55B,-,2,EIO,Comp_OF_PR55A,-,-,N18,W6,-,-,N18,
650,PR53A,-,2,EIO,True_OF_PR53B,-,-,N13,V5,-,-,N13,
651,PR53B,-,2,EIO,Comp_OF_PR53A,-,-,N14,V6,-,-,N14,
